number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço,erro
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2922600,Google,2922600,-23.8708601,-46.6766266,,"JANE VANINE CAPOZI,         45, SAO PAULO, SP",0.32959549541628413
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2922600,Here,2922600,-23.87114,-46.67653,1.0,"JANE VANINE CAPOZI,         45, SAO PAULO, SP",0.35846093187597816
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2922600,OpenRouteService,2922600,-23.870566,-46.67688,0.8,"JANE VANINE CAPOZI,         45, SAO PAULO, SP",0.2884909567487133
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2922600,MapBox,2922600,-23.870596,-46.676843,1.0,"JANE VANINE CAPOZI,         45, SAO PAULO, SP",0.29351416909436084
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2922601,Google,2922601,-23.6399722,-46.4462197,,"DOS LIRIOS, 10, SAO PAULO, SP",0.1954493502475745
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2922601,TomTom,2922601,-23.61043,-46.64296,12.0475177765,"DOS LIRIOS, 10, SAO PAULO, SP",20.217207254482766
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2922601,OpenRouteService,2922601,-23.538679,-46.468242,0.8,"DOS LIRIOS, 10, SAO PAULO, SP",11.256818593304986
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2922601,MapBox,2922601,-23.610426,-46.64296,1.0,"DOS LIRIOS, 10, SAO PAULO, SP",20.21727555749709
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2922601,Here,2922601,-23.61048,-46.64295,1.0,"DOS LIRIOS, 10, SAO PAULO, SP",20.21534586877319
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2922602,Here,2922602,-23.47564,-46.42769,1.0,"ANTONIO XAVIER, 81, SAO PAULO, SP",0.004592250214260477
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2922602,Google,2922602,-23.4755153,-46.4277542,,"ANTONIO XAVIER, 81, SAO PAULO, SP",0.01605541368019346
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2922602,OpenRouteService,2922602,-23.475428,-46.427171,0.8,"ANTONIO XAVIER, 81, SAO PAULO, SP",0.05339484942639367
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2922602,MapBox,2922602,-23.475535,-46.427739,1.0,"ANTONIO XAVIER, 81, SAO PAULO, SP",0.013398599672472164
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2922602,TomTom,2922602,-23.47562,-46.42766,12.0475168228,"ANTONIO XAVIER, 81, SAO PAULO, SP",0.0011718461782018069
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2922603,Here,2922603,-23.47932,-46.65392,1.0,"RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO, SP",0.06868395594930907
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2922603,OpenRouteService,2922603,-23.479405,-46.652876,0.8,"RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO, SP",0.04088931465277906
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2922603,TomTom,2922603,-23.47925,-46.65396,14.2824602127,"RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO, SP",0.0748596232160375
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2922603,MapBox,2922603,-23.478828,-46.654074,1.0,"RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO, SP",0.10907511745417686
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2922603,Google,2922603,-23.4791841,-46.654052,,"RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO, SP",0.08623331605181513
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2922604,OpenRouteService,2922604,-23.690226,-46.796511,0.8,"PEROBEIRAS, 738, SAO PAULO, SP",0.34848402898255865
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2922604,TomTom,2922604,-23.69297,-46.79564,9.62931633,"PEROBEIRAS, 738, SAO PAULO, SP",0.03221857833733245
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2922604,Here,2922604,-23.69307,-46.79562,1.0,"PEROBEIRAS, 738, SAO PAULO, SP",0.021528500547253478
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2922604,Google,2922604,-23.693093,-46.7955523,,"PEROBEIRAS, 738, SAO PAULO, SP",0.016238672442098527
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2922604,MapBox,2922604,-23.013732,-48.004755,0.725926,"PEROBEIRAS, 738, SAO PAULO, SP",144.748668286485
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2922605,OpenRouteService,2922605,-23.48428,-46.497575,0.8,"BATUIRA DO CAMPO, 49, SAO PAULO, SP",0.7151820448140506
