number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço,erro
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2932600,Here,2932600,-23.87114,-46.67653,1.0,"SP, JANE VANINE CAPOZI,         45, SAO PAULO",0.35846093187597816
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2932600,Google,2932600,-23.8708601,-46.6766266,,"SP, JANE VANINE CAPOZI,         45, SAO PAULO",0.32959549541628413
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2932600,OpenRouteService,2932600,-23.570533,-46.663713,0.6,"SP, JANE VANINE CAPOZI,         45, SAO PAULO",33.07147345630077
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2932600,MapBox,2932600,-23.870596,-46.676843,0.875661,"SP, JANE VANINE CAPOZI,         45, SAO PAULO",0.29351416909436084
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932601,Here,2932601,-23.61048,-46.64295,1.0,"SP, DOS LIRIOS, 10, SAO PAULO",20.21534586877319
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932601,Google,2932601,-23.5557714,-46.6395571,,"SP, DOS LIRIOS, 10, SAO PAULO",21.664662930555025
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932601,OpenRouteService,2932601,-23.570533,-46.663713,0.6,"SP, DOS LIRIOS, 10, SAO PAULO",23.343768308818554
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932601,MapBox,2932601,-23.610426,-46.64296,0.87037,"SP, DOS LIRIOS, 10, SAO PAULO",20.21727555749709
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932601,TomTom,2932601,-23.61043,-46.64296,12.0475177765,"SP, DOS LIRIOS, 10, SAO PAULO",20.217207254482766
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2932602,OpenRouteService,2932602,-23.570533,-46.663713,0.6,"SP, ANTONIO XAVIER, 81, SAO PAULO",26.299559652913228
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2932602,MapBox,2932602,-23.475535,-46.427739,0.87037,"SP, ANTONIO XAVIER, 81, SAO PAULO",0.013398599672472164
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2932602,TomTom,2932602,-23.47562,-46.42766,12.0475168228,"SP, ANTONIO XAVIER, 81, SAO PAULO",0.0011718461782018069
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2932602,Here,2932602,-23.47564,-46.42769,1.0,"SP, ANTONIO XAVIER, 81, SAO PAULO",0.004592250214260477
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2932602,Google,2932602,-23.4755153,-46.4277542,,"SP, ANTONIO XAVIER, 81, SAO PAULO",0.01605541368019346
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2932603,Google,2932603,-23.4791841,-46.654052,,"SP, RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO",0.08623331605181513
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2932603,TomTom,2932603,-23.47925,-46.65396,14.2824602127,"SP, RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO",0.0748596232160375
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2932603,Here,2932603,-23.47932,-46.65392,1.0,"SP, RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO",0.06868395594930907
