number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2912600,Google,2912600,-23.8708601,-46.6766266,,"SAO PAULO, SP, JANE VANINE CAPOZI,         45"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2912600,OpenRouteService,2912600,-23.570533,-46.663713,0.6,"SAO PAULO, SP, JANE VANINE CAPOZI,         45"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2912600,MapBox,2912600,-23.870596,-46.676843,0.865661,"SAO PAULO, SP, JANE VANINE CAPOZI,         45"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2912600,Here,2912600,-23.87114,-46.67653,1.0,"SAO PAULO, SP, JANE VANINE CAPOZI,         45"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2912601,Google,2912601,-23.5557714,-46.6395571,,"SAO PAULO, SP, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2912601,Here,2912601,-23.61048,-46.64295,1.0,"SAO PAULO, SP, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2912601,TomTom,2912601,-23.61043,-46.64296,12.0475177765,"SAO PAULO, SP, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2912601,MapBox,2912601,-23.610426,-46.64296,0.86037,"SAO PAULO, SP, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2912601,OpenRouteService,2912601,-23.570533,-46.663713,0.6,"SAO PAULO, SP, DOS LIRIOS, 10"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2912602,TomTom,2912602,-23.47562,-46.42766,12.0475168228,"SAO PAULO, SP, ANTONIO XAVIER, 81"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2912602,OpenRouteService,2912602,-23.570533,-46.663713,0.6,"SAO PAULO, SP, ANTONIO XAVIER, 81"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2912602,Google,2912602,-23.4755153,-46.4277542,,"SAO PAULO, SP, ANTONIO XAVIER, 81"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2912602,MapBox,2912602,-23.475535,-46.427739,0.86037,"SAO PAULO, SP, ANTONIO XAVIER, 81"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2912602,Here,2912602,-23.47564,-46.42769,1.0,"SAO PAULO, SP, ANTONIO XAVIER, 81"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2912603,TomTom,2912603,-23.47925,-46.65396,14.2824602127,"SAO PAULO, SP, RUA RIBEIRO JUNQUEIRA, 259"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2912603,Here,2912603,-23.47932,-46.65392,1.0,"SAO PAULO, SP, RUA RIBEIRO JUNQUEIRA, 259"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2912603,Google,2912603,-23.4791841,-46.654052,,"SAO PAULO, SP, RUA RIBEIRO JUNQUEIRA, 259"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2912603,OpenRouteService,2912603,-23.667305,-46.779298,1.0,"SAO PAULO, SP, RUA RIBEIRO JUNQUEIRA, 259"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2912603,MapBox,2912603,-23.478828,-46.654074,0.865661,"SAO PAULO, SP, RUA RIBEIRO JUNQUEIRA, 259"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2912604,TomTom,2912604,-23.69297,-46.79564,9.62931633,"SAO PAULO, SP, PEROBEIRAS, 738"
